,premise,hypothesis,label,explanation,language
17,"Zwei schöne, kleine Mädchen mit dunklem Haar und dunklen Teint sitzen und essen Cupcakes.",Zwei Mädchen essen Cupcakes.,entailment,"Zwei schöne, kleine Mädchen sind Mädchen, die Cupcakes als Teil der Gesamtbeschreibung essen.",german
18,Ein junges Mädchen steht in einer Küche mit einem grünen Lätzchen.,Ein Mädchen ist gerade mit dem Essen fertig.,neutral,"Nur weil ein Mädchen in der Küche steht, bedeutet das nicht, dass sie gerade mit dem Essen fertig ist.",german
19,"Ein Mann, der von einem Stier fällt, während das Tier in die Luft springt.","Ein Tier springt, wie ein Männchen fällt.",entailment,Mann ist männlich,german
20,"Eine Frau in einer roten Jacke und Sonnenbrille lächelt die Kamera an, während eine andere Frau Skier aus einem Fahrzeug entlädt.",Eine große Frau in einer roten Jacke und Sonnenbrille lächelt zur Kamera,neutral,Nicht alle Frauen in roten Jacken sind groß.,german
21,Ein Mann und ein Kind malen einen Pfosten.,Die beiden Männer kämpfen.,contradiction,"Wenn eine Person ein Kind ist, kann es nicht zwei Männer geben. Malen und Kämpfen sind nicht dasselbe.",german
22,Das kleine Kind trägt Winterkleidung und einen Hut.,Das kleine Kind ist in Tank Top und Shorts gekleidet.,contradiction,Das Kind kann nicht gleichzeitig Winterkleidung und Tank Top und Shorts tragen,german
23,Ein Mädchen in einem schwarzen Pullover und Jeans gießt Wasser in eine leere Sodaflasche.,Ein Mädchen gießt Wasser in den Ozean,contradiction,Eine Sodaflasche ist nicht das Meer.,german
24,"Ein Mädchen mit lockigem Haar und einem patriotischen Hemd schaut auf einen Monarchenfalter, der auf ihrem linken Zeigefinger sitzt.",Ein Mädchen trinkt einen Milchshake,contradiction,Ein Mädchen schaut auf einen Schmetterling oder trinkt einen Milchshake.,german
25,"Fünf Jungs in blauen Hemden, die an einem Tisch zeichnen.","Es gibt Kinder, die blau tragen.",entailment,"Fünf Jungen sind Kinder, und in blauen Hemden heißt Blau tragen.",german
26,"Die ältere Frau lächelt, während sie einen Hammer hochhält.",Ein Mann tritt ein paar Steine.,contradiction,"Satz zwei kann nicht über einen Mann sein, wenn Satz eins über eine Frau ist",german
27,Ein kahler Mann mit Brille steht vor einem bunten Display.,"Ein Mann bewundert eine Schau, die er mag.",neutral,"Wir haben keine Ahnung, ob er das Display bewundert oder ob er nur sucht.",german
28,"Zwei Individuen, die sich wie Tiere verkleiden, posieren für die Kamera.","Zwei junge Jungs, die wie Kühe gekleidet sind, posieren.",neutral,Einzelpersonen implizieren nicht junge Jungen und Tiere implizieren keine Kühe.,german
29,Der Hund ist im Schnee vor einigen Bäumen.,Eine Katze spielt im Schnee.,contradiction,Ein Tier kann nicht eine Katze und ein Hund sein.,german
30,"Fußgänger nutzen die Crosswalks, da der Verkehr an der Reihe ist, um durch eine Kreuzung zu fahren.",Der Verkehr fährt durch den Crosswalk.,contradiction,"ist der Verkehr wartet dann sein nicht möglich zu sagen, der Verkehr fährt",german
31,"Ein älterer Mann in hellgrünem Hemd und dunkelgrüner Hose hält die Hand einer älteren Frau, wenn sie an einem Außenessen mit Tealschirmen vorbeigehen.",Ein älteres Paar fährt im hinteren Teil eines Taxis mitten in einer Stadt.,contradiction,Ein Mann ist nur einer und kann kein Paar sein.,german
32,zwei kleine Mädchen tanzen auf dem Boden,"Zwei Kinder, die auf der Tanzfläche jivieren.",neutral,"Kinder können tanzen, ohne zu jivieren.",german
33,Eine Frau in einem schwarzen Kapuzen-Sweatshirt mit einem großen Hund zu Fuß.,"Eine Frau, die ihrem Hund ein Bad gibt",contradiction,Man kann den Hund nicht gehen und ihm gleichzeitig ein Bad geben,german
34,Ein kleiner Junge mit einer roten Baseballkappe ist in einem Bus mit Jungs mit gelben Baseballkappen.,"Es gibt Leute, die nach der Schule mit dem Bus fahren",neutral,Leute in einem Bus müssen nicht nach der Schule fahren,german
35,"Eine Frau, die Fahrradshorts und einen Rock trägt, fährt ein Fahrrad und trägt eine Schultertasche.",Eine Frau auf dem Fahrrad.,entailment,"Frau Fahrrad fahren bedeutet, sie ist auf einem Fahrrad",german
36,"Ein Paar sitzt lächelnd, mit der Frau, die Arme mit dem Mann verbindet.",Ein Paar sitzt und lächelt sich an.,entailment,Mann und Frau sind ein Paar.,german
37,Zwei Männer tragen Mützen und schauen auf den Boden mit überraschenden Gesichtsausdrücken.,Zwei Männer sind von dem Stinktier in ihrer Nähe überrascht.,neutral,"Der Blick auf den Boden mit überraschten Ausdrücken deutet nicht darauf hin, dass sie von einem Stinktier überrascht wurden.",german
38,Straßenverkäufer bereiten und servieren gegrillte Speisen.,Straßenverkäufer sind geschickt Grillen Essen für Kunden.,neutral,"Nur weil Straßenverkäufer bereiten und servieren gegrillte Lebensmittel, die nicht bedeutet, seine für die Kunden.",german
39,Vögel fliegen über den rollenden Wellen des Ozeans.,Vögel fliegen über einem Gewässer.,entailment,Ein Ozean ist ein Körper aus Wasser.,german
40,Ein Mann und eine Frau laufen auf einem Flohmarkt.,Das Paar kauft für Deals ein.,neutral,"Sie können nicht folgern, dass sie ein Paar sind.",german
41,"Ein junger afrikanischer Junge, der über Felsen hüpft.",Die Gegend um den Jungen ist völlig trocken.,contradiction,"Das Gebiet kann nicht vollständig trocken sein, wenn der Junge Felsen überspringt",german
42,"Ein stehender Mann spricht mit einer sitzenden Frau, während er auf einem Fahrzeug sitzt.",Zwei Leute reden.,entailment,"Der Mann spricht mit einer sitzenden Frau, gleicht zwei Leuten, die reden.",german
43,Ein junger Mann in einem grauen Hemd schwebt über seiner Bierflasche und Guinness Glas zieht grüne Dinge aus seinem Bart.,"Der Gentleman im T-Shirt sollte wirklich nicht so viel Bier trinken, denn jetzt hat er kleine grüne Stücke von etwas in seinem Bart.",neutral,"Nicht alle grauen Hemden sind T-Shirts; nur weil ein Mann grüne Dinge in seinem Bart hat, bedeutet das nicht, dass er zu viel Bier getrunken hat oder nicht eine bestimmte Menge trinken sollte; wir wissen nicht, ob er überhaupt mit dem Trinken begonnen hat, oder ob er die grünen Sachen überhaupt in seinen Bart setzt.",german
44,Eine Gruppe junger Menschen posiert für ein Bild auf einem Feld,Die jungen Leute sind draußen.,entailment,Pose für ein Bild in einem Feld bedeutet im Freien,german
45,Leute genießen Essen außerhalb eines Restaurants.,Leute essen Sachen im Freien.,entailment,Essen und Essen sind Synonyme.,german
46,Der Mann in Schwarz fliegt vor einem roten Zaun voll davon.,Der Mann trägt schwarze Hosen und eine schwarze Jacke vor dem Zaun.,neutral,"In bedeutet nicht, tragen",german
47,Ein halb gekleideter Mann schläft auf dem Bürgersteig.,Ein Obdachloser schläft draußen,neutral,"Halb gekleidet zu sein bedeutet nicht, dass man obdachlos ist.",german
48,"Eine Frau in einer amerikanischen Militäruniform sitzt an einem Tisch und schreibt auf einem großen Blatt weißem Papier die Worte'sad', 'deprimiert' und 'hass'.",Eine Frau in einer amerikanischen Militäruniform.,entailment,Die Frau trägt eine amerikanische Militäruniform in beiden Sätzen.,german
49,"Leute, die an langen Tischen sitzen, alle in die gleiche Richtung gerichtet, einige schriftlich und einige beobachten.","Ein Familientreffen ist im Gange, da Verwandte an Tischen sitzen und sich gegenseitig die Adressen aufschreiben.",neutral,"Sie können nicht folgern, dass es ein Familientreffen ist.",german
50,"Ein junger Mann trägt ein weißes Hemd mit einem Charakter, der sehr dunkel umrissen ist.",Ein blonder Junge in einem weißen Hemd.,neutral,Nicht alle Jungs sind blond.,german
51,Vier Kinder tragen blaue Hüte mit farbigen Streamern.,Vier Kinder warten auf den Bus.,neutral,"Kinder tragen blaue Hüte mit farbigen Streamern bedeutet nicht immer, dass Kinder auf den Bus warten.",german
52,Eine Gruppe von Kindern in afrikanischer Kleidung.,Eine Person in Kleidung,entailment,"Es gibt Menschen, die afrikanische Kleidung tragen.",german
53,Ein Mann tritt für eine Gruppe vor einem weißen Haus auf.,Der Mann trat vor seinem eigenen Haus auf.,neutral,"Jedes weiße Haus, vor dem der Mann spielt, muss nicht sein eigenes Haus sein.",german
54,Zwei Mädchen (eine in Blau und eine in Rosa) rasen aufeinander auf Rollschuhen.,Der Gewinner bekommt eine kostenlose Soda.,neutral,Die Mädchen können nicht um einen Preis oder Getränke Soda konkurrieren,german
55,"Ein Mann mit schwarzem Hut, der auf der Straße steht, während er eine E-Gitarre spielt und singt.",Der Mann hat eine große singende Stimme.,neutral,"Es ist nicht unbedingt wahr, dass er eine große Stimme hat.",german
56,Zwei Kinder in schwarzen Koffern hüpfen auf einem nassen Trampolin.,Kinder spielen auf Trampolinen im Freien.,entailment,"Kinder sind Kinder, das Hüpfen auf einem Trampolin ist dasselbe wie das Spielen auf einem Trampolin und es macht Sinn für ein Trampolin draußen zu sein.",german
57,"Die Frau in dem schwarzen Hemd gibt den Kindern, die sie umgeben, Papiere.","Jemand, der Papier verteilt.",entailment,Die Frau verteilt Papiere an Kinder,german
58,"Ein Mann, der auf einem Elefanten mit Reitsitz sitzt, spricht mit einer Touristenfrau.","Eine Person, die ein großes Tier reitet.",entailment,Ein Elefant ist ein großes Tier.,german
59,Ein Mann in einem Surfhemd und blau-weißen Shorts gekonnt führt sein gelbes Brett mit seinem bunten Segel über den Kamm einer Meereswelle und dreht dabei um.,Ein Mann surft,entailment,"Der Mann surft, weil er sein Brett über den Kamm einer Meereswelle führt.",german
60,"Ein älterer, barfußer Junge spricht mit einem jüngeren, hemdlosen Jungen in Flip Flips mitten auf der Straße.",Zwei Jungs reden mitten auf einer Straße.,entailment,"Der erste Satz besagt, dass ein älterer Junge mitten auf der Straße mit einem jüngeren Jungen spricht, was darauf hindeutet, dass zwei Jungs mitten auf der Straße reden.",german
61,"Eine Frau mit ihrem Gesicht, die teilweise mit silberner Gesichtsfarbe bedeckt ist, sitzt auf einer Plastiktote, die in einem Spiegel aussieht.",Die Frau ist blind.,contradiction,"Die Frau würde nicht in einen Spiegel schauen, weil sie blind war.",german
62,"Ein entzückendes Kind springt, um einen Fußball vom Eintritt ins Tor zu blockieren.",Ein Kind blockiert ein Tor mit seinem Hockey-Stick.,contradiction,Das Kind kann nicht Fußball und Hockey spielen.,german
63,Ein Mann sitzt auf seinem Thron hinter den Trommeln.,Ein Mann steckt hinter ein paar Trommeln.,entailment,Der Thron ist hinter den Trommeln.,german
64,Autos und Menschen befinden sich außerhalb von 'Hotel Carmel'.,"Das Hotel steht leer und verlassen, ohne dass jemand vor Ort ist.",contradiction,"Wenn Autos und Menschen außerhalb des Hotels sind, ist es unwahrscheinlich, dass das Hotel leer und verlassen ist.",german
65,Der Mann sitzt an der Tür des Friseurladens.,der Mann steht auf dem Dach,contradiction,Der Mann kann nicht gleichzeitig sitzen und stehen.,german
66,Ein weißer Hund läuft an einem felsigen Strand.,Es ist Tag.,neutral,"Wir haben keine Ahnung, welche Tages- oder Nachtzeit es ist. Es ist nicht impliziert. Es könnte Tag oder Nacht sein.",german
67,Ein Mann in einem grünen Hemd schwebt über dem Boden in der Waschküche.,Der Mann trägt ein rotes Hemd.,contradiction,"Der Mann kann nur entweder das grüne oder das rote Hemd tragen, eins nach dem anderen.",german
68,Im Winter versammelt sich eine Menge Menschen auf der Straße vor der Kulisse von nackten Bäumen und Schnee.,Eine Menge Leute versammelt sich in einer Straße n Winterzeit.,entailment,Antwort: Im Winter werden nackte Bäume und Schnee gesehen.,german
69,"Zwei pelzige beige Hunde, die im Meer surfen.",Zwei Hunde spielen an einem Strand.,entailment,"Zwei pelzige beige Hunde sind zwei Hunde, und Meeressurfen impliziert Strand.",german
70,"Zuschauer schauen auf, wie ein Baseballspieler auf eine Basis läuft, während der Baseman wartet, um den Fang zu machen.",eine Katze springt hoch,contradiction,Eine Katze ist kein Baseballspieler.,german
71,zwei Hunde kämpfen um ein rosa und rotes Spielzeug,Die Hunde sind im Hinterhof.,neutral,"Hunde kämpfen bedeutet nicht immer, dass Hunde im Hinterhof sind",german
72,Motorradfahrer geht über eine Beule.,"Motorradfahrer, der über eine Beule fährt.",entailment,"""Geht über eine Bumpe"" ist eine Neuformulierung von ""Fahrt über eine Bumpe"".",german
73,"Ein Passagier, der eine Schwimmweste trägt, bereitet sich darauf vor, ein Bild eines Wals ganz in der Nähe des Bootes zu machen.",Ein Mann macht ein Foto von einem Goldfisch.,contradiction,"Goldfische werden normalerweise nicht in so großen Gewässern fotografiert, wie das, was ein Wal zu finden wäre.",german
74,"Ein Mann, der einen hängenden Lampenstrang berührt.",Ein Mann greift zu einem Lampenstrang.,entailment,"Erreichbar zu sein, ist eine andere Art zu sagen, berühren.",german
75,Eine Frau in einem grauen Hemd schaut sich etwas an.,"Eine Frau in einem roten Hemd, die einen Kuchen backt.",contradiction,die Farbe grau und rot ist anders. man kann beim Backen nicht auf etwas schauen.,german
76,Ein Wakeboarder.,Ein Mann sieht im Fernsehen surfen.,contradiction,"Wenn ein Mann im Fernsehen surft, ist er kein Wakeboarder.",german
77,Ein Polizist sitzt in einem Van und schaut aus dem Fenster.,Der Polizist sitzt.,entailment,Ein Polizist ist in einem Lieferwagen und deshalb sitzt er.,german
78,Vier Menschen gehen über Trittsteine in einem Körper aus Wasser.,Vier Leute stehen auf.,entailment,"Um zu gehen, müssen sie aufstehen.",german
79,Ein Hund spielt mit einem ausgestopften Tier.,Der Hund amüsiert sich.,neutral,Ein Hund muss sich beim Spielen nicht amüsieren.,german
80,Ein Kleinkind ist fasziniert von einem Spielzeuglego in einer Buchhandlung.,Ein Junge wählt ein Geburtstagsgeschenk für sich im Laden aus.,neutral,"Ein Junge, der ein Geburtstagsgeschenk für sich selbst wählt, deutet nicht darauf hin, dass er von einem Spielzeuglego in einer Buchhandlung fasziniert ist.",german
81,Ein Mädchen mit kurzen Haaren und einem weißen Hemd hält eine Bierflasche,"Da ist ein Mädchen, das eine Bierflasche hält.",entailment,"Wenn es ein Mädchen mit kurzen Haaren und einem weißen Hemd gibt, dann muss es auch ein Mädchen geben",german
82,"Ein Mann auf Stelzen führt einen magischen Trick durch, während Zuschauer genießen.",Ein Mann auf Stelzen führt einen Trick für ein Publikum durch.,entailment,Zuschauer zu einem Trick sind ein Publikum.,german
83,Ein Kind fährt mit dem Fahrrad in einer sonnigen Nachbarschaft.,das Kind ist zu Hause und guckt Filme,contradiction,"Das Kind kann nicht auf dem Fahrrad sein, während man Filme sieht.",german
84,"Eine Frau, die mit einem Lächeln auf ihrem Gesicht steht und ein Holz in der Hand hält",Eine Frau mit Holz in der Hand steht mit einem Lächeln auf ihrem Gesicht.,entailment,Eine Frau mit Holz steht in beiden Sätzen lächelnd auf ihrem Gesicht.,german
85,Zwei Personen nehmen am Sportzaun teil.,"Zwei Leute, die Fechtenschwerter halten",entailment,Schwerter werden im Sport des Fechtens verwendet.,german
86,"Zwei Mädchen springen auf einem Trampolin, eine aufrecht und die andere landet auf ihrem Rücken, in einem Hinterhof.",Die Mädchen sind in einem Raketenschiff.,contradiction,"Mädchen, die auf einem Trampolin springen, können nicht in einem Raketenschiff sein.",german
87,"Drei Kinder und Erwachsene im Hintergrund, alle tun so, als ob sie schlafen.","Die Leute tun so, als ob sie schlafen.",entailment,"Die Menschen bereiten sich vor, in der Hintertür zu schlafen.",german
88,"Ein kleiner Hund läuft, um einen Ball zu fangen.",Der Hund schläft auf dem Sofa.,contradiction,Der Hund rennt entweder oder schläft auf dem Sofa; er kann nicht beides auf einmal tun.,german
89,"Ein Vater und seine Tochter reiten einen Rasenmäher eine Straße entlang, während sie in amerikanischen Farben gekleidet sind.",zwei Männer schneiden Gras von Hand,contradiction,Ein Vater und eine Tochter können nicht auch zwei Männer sein,german
90,"Ein Mann in einem roten Hemd wird von einem anderen Mann auf einem Sportplatz gefilmt, mit einem riesigen Publikum von Leuten, die zusehen und jubeln.",Das Publikum jubelt wegen der Berühmtheit.,neutral,"Nur weil ein Publikum einen Mann jubelt, der gefilmt wird, bedeutet das nicht, dass der Mann eine Berühmtheit ist.",german
91,Ein Mann in einer Winterjacke und Strickmütze steht mit seinen Armen an seiner Seite in einer Schneelandschaft.,Ein Mann steht in einer Wüste.,contradiction,Vermutlich hat die Wüste im zweiten Satz keine Schneelandschaft.,german
92,Die Hunde spielen auf dem Bett.,"Zwei Katzen, die zusammen auf dem Bett spielen.",contradiction,"Es wäre besser, wenn du auf dem Bett spielen würdest.",german
93,Zwei Kinder laufen an einem Dinosaurier im Wald vorbei.,Junge Leute laufen im Freien.,entailment,Die Wälder sind draußen.,german
94,Einige Menschen stehen in einem Raum um eine runde Rezeption herum.,Mehrere Menschen sind in der Nähe eines Möbelstücks.,entailment,Einige Menschen und mehrere Menschen sind die gleichen,german
95,"Ein Mann, der eine Aktentasche in einer U-Bahn hält.",Ein Mann hat einen Aktenkoffer.,entailment,"Ein Mann, der eine Aktentasche hält, hat definitiv einen Aktenkoffer.",german
96,"Leute, die in einem Schneesturm Schlange stehen.","Die Leute warten auf Essen, um durch den Schneesturm mit",neutral,"Nur weil die Leute Schlange stehen, heißt das nicht, dass es ums Essen geht.",german
97,"Ein älterer Mann in einem bedruckten Hemd, der auf einer belebten Straße raucht.",Ein Mann raucht auf einer Straße.,entailment,Ein älterer Mann ist ein Mann.,german
98,Kinder am Strand mit ihrem Hund.,Die Kinder sind mit ihrem Hund am Meer.,entailment,"Am Strand zu sein bedeutet, dass es einen Körper aus Wasser gibt, wie zum Beispiel den Ozean.",german
99,Mehrere Zeichentrickfiguren sind hinter einem jungen Mädchen sitzen in einem Hochstuhl mit einem Eimer und SpongeBob vor ihr.,Einer der Zeichentrickfiguren ist aufgebracht.,neutral,Zeichentrickfiguren werden nicht als verärgert angenommen.,german
100,"Eine Frau, die eine Sonnenbrille trägt, runzelt die Stirn.",Die glückliche Frau hat große grüne Augen.,contradiction,"Sie kann nicht Stirnrunzeln, wenn sie glücklich ist.",german
101,Ein Mann hält ein Mikrofon vor seinem Mund.,Der Mann schwimmt im Meer.,contradiction,"Ein Mikrofon wäre beschädigt, wenn jemand schwimmen würde.",german
102,"Der Mund des Hundes ist offen, als würde er gähnen.",ein Hund läuft,contradiction,Der Hund kann nicht gleichzeitig laufen und gähnen.,german
103,Person mit Regenschirm beobachtet überflutete Straßen mit Autos im Wasser.,Eine Person ist draußen.,entailment,"""Person mit Regenschirm"" deutet absolut auf eine Person hin, und es wäre sinnvoll, dass sie draußen sind oder es keinen besonderen Grund für sie gäbe, einen Regenschirm zu haben; es ist oft einfacher, Straßen zu beobachten, wenn draußen.",german
104,Zwei Bergsteiger laufen über einen schneebedeckten Berg.,"Zwei Bergsteiger, die auf einem Berg wandern.",entailment,Der Berg ist schneebedeckt.,german
105,"Ein junges asiatisches Mädchen trägt ein rosa Kleid und hält einen Regenschirm, obwohl es nicht regnet.",Das Mädchen in einem rosa Kleid verwendet einen Schirm für einen Sonnenschutz.,neutral,Das Mädchen konnte den Schirm aus vielen Gründen halten. Nicht jeder hält einen Schirm für Sonnenschutz.,german
106,"Ein Junge, der auf dem Fußballfeld posiert.",Der Junge ist in einer Fußballmannschaft.,neutral,"Ein Junge kann auf einem Fußballfeld posieren, ohne in einer Fußballmannschaft zu sein.",german
107,"Ein Sänger, der eine Lederjacke trägt, tritt auf der Bühne mit dramatischer Beleuchtung hinter sich auf.",der Sänger ist nicht aufgetaucht,contradiction,"Der Sänger kann nur auftreten, wenn der Sänger auftaucht.",german
108,Ein Kind macht eine Sandburg am Strand.,Ein Kind benutzt seine Fantasie.,neutral,"Es ist nicht klar, dass das Kind ihre Phantasie verwendet, anstatt nur eine Standard Sandburg mit den Werkzeugen, die sie zur Verfügung haben.",german
109,"Eine schöne Braut, die mit ihrem neuen Ehemann auf einem Bürgersteig läuft.",Neuvermählte sitzen auf einer Parkbank.,contradiction,Man kann entweder auf einem Bürgersteig gehen oder auf einer Parkbank sitzen.,german
110,Eine ältere Frau hält ein kleines Kind.,"ein Mann, der ein Baby hält",contradiction,"Er bezieht sich auf eine ältere Frau, nicht auf einen Mann.",german
111,Es gibt viele Menschen in einem großen Raum mit vielen Möbeln mit Etiketten auf ihnen.,"Schatzjäger strömen zu einem Immobilienverkauf, mit vielen antiken Möbeln zum Verkauf.",neutral,"Nur weil es viele Menschen in einem großen Raum mit vielen Möbeln mit Etiketten auf ihnen. Bedeutet nicht, dass sie Schatzjäger bei einem antiken Möbelverkauf sind.",german
112,Zwei Männer boxen in der Kampfarena.,Zwei Männer schlagen sich gegenseitig.,neutral,"Nur weil sich zwei Männer schlagen, bedeutet das nicht, dass sie in einer Kampfarena sind.",german
113,Eine belebte Straße mit zahlreichen Menschen interagieren und gehen über ihr Leben.,Die Straße ist lebendig mit Aktivität.,entailment,Eine belebte Straße ist eine belebte Straße mit Aktivität.,german
114,Zwei Wanderer wagen einen Schneehang hinauf.,Bei warmem Wetter wandern zwei Personen mit Rucksäcken weiter.,contradiction,"Es kann keinen Schneehang geben, wenn das Wetter warm ist",german
115,Der Pitcher spielt den Ball in einem Baseballspiel.,Der Junge spielt Basketball.,contradiction,Der Junge spielt Basketball oder Baseball.,german
116,"Eine Frau spricht auf einem Handy, während sie vor blauen Geländern sitzt, die vor dem Ozean liegen.",Sie spricht mit ihrem Freund über Pläne in dieser Nacht,neutral,"Alles kann über ein Handy gesprochen werden, nicht nur über Pläne.",german
117,Drei junge asiatische Frauen gehen auf einer regen durchnässt Straße mit Verkehr im Hintergrund.,Die Frauen haben jeweils Regenschirme.,neutral,Menschen können im Regen ohne Regenschirme spazieren gehen.,german
118,Eine Gruppe von Läufern läuft auf zwei identische Wolkenkratzer zu.,Eine Gruppe von Mall Walkern macht eine Rauchpause.,contradiction,"Läufer und Mall Walker sind nicht die gleichen, plus eine Gruppe läuft aktiv und die andere ungesund eine Rauchpause.",german
119,"Ein Mann mit dünnem Haar, der durch eine Brille in eine Brille schaut.",Ein Mann mit Brille schaut auf Trinkgläser.,neutral,Nicht jeder sieht sich eine Trinkbrille an.,german
120,Ein Mann mit seinem Arm um eine Frau herum.,Ein Mann ist bei einer Frau.,entailment,Der Mann mit dem Arm um eine Frau ist mit einer Frau.,german
121,Ein östlicher Verkäufer sitzt an seinem Stall mit einem Hahn in der Nähe.,ein Hahn auf dem Bauernhof,contradiction,Hahn in einem Stall kann nicht gleichzeitig auf dem Bauernhof sein.,german
122,Eine Frau mit einem blauen Hemd und bunten Haaren hat gerade den Bowlingball geworfen.,Eine Frau ist Bowling.,entailment,"Vereinfacht: Eine Frau hat gerade die Bowlingkugel geworfen ist ähnlich wie zu sagen, dass eine Frau ist Bowling.",german
123,Ein Unfall mit einem grünen Sudan und einem grauen Van.,Der graue Van hatte die grüne Limousine abgerissen.,neutral,"Ein Unfall bedeutet nicht, dass ein Stoßfänger zerschmettert wird.",german
124,Eine Straßenecke mit zwei vorbeifahrenden Radfahrern und mehreren Fußgängern.,Die Menschen sind in einer Stadt.,entailment,Fahrradfahrer und Fußgänger sind in einer Stadt.,german
125,"Zwei Männer kochen, einer rührt einen Topf, während er ein lustiges Gesicht macht, während der andere auf ihn zeigt.",Manche Männer haben Hunger.,neutral,"Einen Topf zu rühren und ein Gesicht zu machen, bedeutet nicht, dass die Männer unbedingt hungrig sind.",german
126,"Eine sprechende Frau auf einem Podium hat den Satz 'Armenischer Völkermord' darauf geschrieben, flankiert von Priestern und Männern in Anzügen.",Die Frau ist armenisch.,neutral,"Sie können nicht folgern, dass sie eine Armenierin ist.",german
127,Männlich mit braunen Shorts und schwarzem T-Shirt in seinem Schlafzimmer mit seinen Füßen auf dem Schreibtisch am Telefon sprechen.,Ein Mann telefoniert mit seiner Frau.,neutral,"Wir haben keine Ahnung, mit wem der Mann am Telefon spricht, es könnte seine Frau oder viele andere Leute sein.",german
128,Eine Frau in Schwarz geht die Straße entlang vor einer graffierten Wand.,Eine Frau geht auf dem Weg zum Buchladen an einer Graffiti-Wand vorbei.,neutral,"Die Frau braucht nicht unbedingt ein Ziel zu haben, geschweige denn eine Buchhandlung",german
